SEASON,METRIC,PLAYER_VALUE,ABS_RANK,PERCENTILE,TOTAL_PLAYERS
2015-16,PTS,11.8,105,68.7,342
2015-16,REB,5.9,74,78.4,342
2015-16,AST,1.4,192,39.8,342
2015-16,STL,0.8,116,56.4,342
2015-16,BLK,0.2,211,20.8,342
2015-16,FG_PCT,0.48,84,74.3,342
2015-16,FG3_PCT,0.41,27,92.1,342
2015-16,PLUS_MINUS,0.1,153,54.1,342
