PLAYER_NAME,SEASON,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,TS_PCT,USG_PCT,PTS_RANK,AST_RANK,USG_RANK,TEAM_W_PCT,PCT_PTS,PCT_REB,PCT_AST,OFF_RATING,DEF_RATING,PIE
Deni Avdija,2025-26,40,35.4,26.1,7.1,6.9,0.9,0.6,0.468,0.611,28.2,15,15,25,0.475,29.5,21.5,36.3,116.9,116.3,15.1
LeBron James,2008-09,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.591,33.0,2,10,3,0.815,35.0,22.7,44.3,114.0,99.4,22.6
