SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_NAME
22008,2544,0020800842,"Feb 24, 2009",CLE vs. MEM,W,30,4,10,0.4,1,2,0.5,6,8,0.75,0,5,5,8,0,1,2,1,15,13,0,2008-09,LeBron James
22008,2544,0020800835,"Feb 22, 2009",CLE vs. DET,W,31,6,13,0.462,0,3,0.0,8,10,0.8,0,5,5,9,2,1,0,0,20,22,0,2008-09,LeBron James
22008,2544,0020800818,"Feb 20, 2009",CLE @ MIL,W,40,16,29,0.552,8,11,0.727,15,22,0.682,1,4,5,9,0,0,6,3,55,13,0,2008-09,LeBron James
22008,2544,0020800799,"Feb 18, 2009",CLE @ TOR,W,33,9,17,0.529,0,3,0.0,2,2,1.0,1,8,9,9,1,1,5,1,20,20,0,2008-09,LeBron James
22008,2544,0020800774,"Feb 11, 2009",CLE vs. PHX,W,33,9,18,0.5,1,5,0.2,7,8,0.875,2,4,6,6,2,1,3,1,26,22,0,2008-09,LeBron James
22008,2544,0020800765,"Feb 10, 2009",CLE @ IND,L,41,15,21,0.714,4,7,0.571,13,14,0.929,0,7,7,4,1,1,7,1,47,7,0,2008-09,LeBron James
22008,2544,0020800751,"Feb 08, 2009",CLE vs. LAL,L,40,5,20,0.25,2,8,0.25,4,8,0.5,3,5,8,12,0,0,1,1,16,-12,0,2008-09,LeBron James
22008,2544,0020800724,"Feb 04, 2009",CLE @ NYK,W,44,17,33,0.515,2,7,0.286,16,19,0.842,0,9,9,11,0,2,3,1,52,7,0,2008-09,LeBron James
22008,2544,0020800714,"Feb 03, 2009",CLE vs. TOR,W,38,9,20,0.45,2,5,0.4,13,13,1.0,1,6,7,4,1,2,3,3,33,23,0,2008-09,LeBron James
22008,2544,0020800704,"Feb 01, 2009",CLE @ DET,W,39,12,25,0.48,3,8,0.375,6,11,0.545,4,0,4,8,1,1,5,3,33,-8,0,2008-09,LeBron James
22008,2544,0020800686,"Jan 30, 2009",CLE vs. LAC,W,37,9,17,0.529,2,4,0.5,5,6,0.833,0,7,7,6,3,1,3,2,25,32,0,2008-09,LeBron James
22008,2544,0020800679,"Jan 29, 2009",CLE @ ORL,L,38,10,27,0.37,0,2,0.0,3,6,0.5,1,7,8,8,1,1,2,1,23,-9,0,2008-09,LeBron James
22008,2544,0020800662,"Jan 27, 2009",CLE vs. SAC,W,38,5,10,0.5,0,2,0.0,13,15,0.867,5,10,15,11,0,3,2,1,23,6,0,2008-09,LeBron James
22008,2544,0020800644,"Jan 24, 2009",CLE @ UTA,W,41,14,27,0.519,1,6,0.167,4,6,0.667,4,10,14,9,1,0,2,1,33,16,0,2008-09,LeBron James
22008,2544,0020800638,"Jan 23, 2009",CLE @ GSW,W,41,10,24,0.417,2,5,0.4,10,16,0.625,2,7,9,8,3,2,2,2,32,12,0,2008-09,LeBron James
22008,2544,0020800624,"Jan 21, 2009",CLE @ POR,W,42,14,30,0.467,3,6,0.5,3,4,0.75,0,7,7,14,1,0,2,1,34,14,0,2008-09,LeBron James
22008,2544,0020800612,"Jan 19, 2009",CLE @ LAL,L,42,9,25,0.36,1,5,0.2,4,8,0.5,2,7,9,4,4,1,6,1,23,-11,0,2008-09,LeBron James
22008,2544,0020800583,"Jan 16, 2009",CLE vs. NOH,W,43,12,24,0.5,0,2,0.0,5,6,0.833,3,11,14,7,3,1,4,3,29,19,0,2008-09,LeBron James
22008,2544,0020800578,"Jan 15, 2009",CLE @ CHI,L,44,8,28,0.286,1,6,0.167,11,16,0.688,3,11,14,7,1,1,8,4,28,2,0,2008-09,LeBron James
22008,2544,0020800560,"Jan 13, 2009",CLE @ MEM,W,40,9,15,0.6,1,5,0.2,11,14,0.786,0,11,11,10,3,1,2,2,30,21,0,2008-09,LeBron James
