SEASON,PERIOD,SHOT_ZONE_BASIC,FGA,FGM,FG_PCT
2024-25,3,Right Corner 3,10,5,0.5
2024-25,4,Above the Break 3,54,13,0.24074074074074073
2024-25,4,Backcourt,1,0,0.0
2024-25,4,In The Paint (Non-RA),23,3,0.13043478260869565
2024-25,4,Left Corner 3,9,3,0.3333333333333333
2024-25,4,Mid-Range,4,3,0.75
2024-25,4,Restricted Area,68,43,0.6323529411764706
2024-25,4,Right Corner 3,7,1,0.14285714285714285
2024-25,5,Above the Break 3,4,0,0.0
2024-25,5,In The Paint (Non-RA),2,0,0.0
2024-25,5,Restricted Area,4,1,0.25
2025-26,1,Above the Break 3,58,22,0.3793103448275862
2025-26,1,In The Paint (Non-RA),39,18,0.46153846153846156
2025-26,1,Left Corner 3,3,2,0.6666666666666666
2025-26,1,Mid-Range,7,2,0.2857142857142857
2025-26,1,Restricted Area,62,35,0.5645161290322581
2025-26,1,Right Corner 3,3,1,0.3333333333333333
2025-26,2,Above the Break 3,63,23,0.36507936507936506
2025-26,2,In The Paint (Non-RA),50,20,0.4
2025-26,2,Left Corner 3,3,2,0.6666666666666666
2025-26,2,Mid-Range,7,4,0.5714285714285714
2025-26,2,Restricted Area,57,33,0.5789473684210527
2025-26,2,Right Corner 3,6,2,0.3333333333333333
2025-26,3,Above the Break 3,56,19,0.3392857142857143
2025-26,3,In The Paint (Non-RA),31,11,0.3548387096774194
2025-26,3,Left Corner 3,4,3,0.75
2025-26,3,Mid-Range,9,5,0.5555555555555556
2025-26,3,Restricted Area,53,33,0.6226415094339622
2025-26,3,Right Corner 3,5,1,0.2
2025-26,4,Above the Break 3,56,16,0.2857142857142857
2025-26,4,In The Paint (Non-RA),33,12,0.36363636363636365
2025-26,4,Mid-Range,10,3,0.3
2025-26,4,Restricted Area,59,47,0.7966101694915254
2025-26,4,Right Corner 3,2,1,0.5
2025-26,5,Mid-Range,1,1,1.0
2025-26,5,Restricted Area,1,1,1.0
