PLAYER_ID,PLAYER_NAME,GP,MIN,MIN_TOT,PTS,PTS_TOT,REB,REB_TOT,AST,AST_TOT,STL,STL_TOT,BLK,BLK_TOT,FG_PCT,FG3_PCT,USG_PCT,IS_LEBRON
200776,Mardy Collins,48,18.5,889.7683333333333,5.2,251,2.2,107,2.3,111,0.6,31,0.2,10,0.425,0.419,0.16,False
201596,Mario Chalmers,82,32.0,2625.8433333333332,10.0,818,2.8,228,4.9,403,2.0,160,0.1,8,0.42,0.367,0.16,False
201238,Mario West,53,5.1,268.96166666666664,0.8,43,1.1,56,0.4,19,0.3,18,0.1,4,0.412,1.0,0.096,False
1548,Mark Blount,20,10.4,207.14666666666668,4.0,79,2.1,41,0.2,4,0.1,1,0.4,7,0.385,0.407,0.222,False
2058,Mark Madsen,19,6.1,115.68833333333333,0.3,6,0.9,18,0.2,4,0.1,1,0.1,1,0.214,0.0,0.067,False
2060,Marko Jaric,53,11.4,604.705,2.6,136,1.2,65,1.4,74,0.5,29,0.2,11,0.331,0.393,0.159,False
2605,Marquis Daniels,54,31.5,1700.3733333333332,13.6,733,4.6,248,2.1,114,1.1,62,0.5,26,0.451,0.2,0.209,False
201578,Marreese Speights,79,16.0,1262.4233333333334,7.7,608,3.7,293,0.4,30,0.3,27,0.7,56,0.502,0.25,0.213,False
101110,Martell Webster,1,5.3,5.25,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.083,False
101107,Marvin Williams,61,34.3,2093.465,13.9,845,6.3,382,1.3,81,0.9,57,0.6,39,0.458,0.355,0.181,False
2440,Matt Barnes,77,27.0,2082.1566666666668,10.2,788,5.5,421,2.8,212,0.7,52,0.3,26,0.423,0.343,0.179,False
2588,Matt Bonner,81,23.8,1927.7266666666667,8.2,667,4.8,386,1.0,82,0.6,47,0.3,26,0.496,0.44,0.145,False
2679,Matt Carroll,55,11.2,615.5233333333333,3.0,164,1.3,69,0.5,27,0.4,21,0.1,6,0.38,0.245,0.153,False
1723,Matt Harpring,63,11.0,693.47,4.4,277,2.0,123,0.4,28,0.5,29,0.1,9,0.461,0.0,0.196,False
200772,Maurice Ager,20,4.9,97.31666666666666,1.7,34,0.5,10,0.2,3,0.1,1,0.1,2,0.349,0.0,0.229,False
2230,Maurice Evans,80,23.0,1840.17,7.2,574,3.0,243,0.7,54,0.6,50,0.1,10,0.432,0.395,0.138,False
2246,Mehmet Okur,72,33.5,2409.08,17.0,1225,7.7,557,1.7,120,0.8,54,0.7,53,0.485,0.446,0.214,False
2408,Melvin Ely,31,12.0,373.06333333333333,3.1,97,2.1,64,0.6,18,0.1,2,0.3,9,0.389,0.0,0.174,False
1897,Metta World Peace,69,35.5,2451.8216666666667,17.1,1181,5.2,359,3.3,229,1.5,105,0.3,24,0.401,0.399,0.243,False
201563,Michael Beasley,81,24.8,2008.59,13.9,1123,5.4,439,1.0,83,0.5,41,0.5,37,0.472,0.407,0.273,False
714,Michael Finley,81,28.8,2335.8616666666667,9.7,784,3.3,270,1.4,114,0.5,37,0.2,17,0.437,0.411,0.159,False
2072,Michael Redd,33,36.4,1202.7183333333332,21.2,699,3.2,107,2.7,88,1.1,35,0.1,2,0.455,0.366,0.25,False
1913,Michael Ruffin,11,3.2,35.27166666666667,0.5,6,1.0,11,0.0,0,0.3,3,0.1,1,0.286,0.0,0.115,False
2554,Mickael Pietrus,54,24.6,1328.6966666666667,9.4,510,3.3,176,1.2,65,0.6,31,0.4,24,0.413,0.359,0.18,False
1710,Mike Bibby,79,34.7,2739.855,14.9,1176,3.5,278,5.0,392,1.2,98,0.1,11,0.435,0.39,0.201,False
201144,Mike Conley,82,30.6,2508.195,10.9,895,3.4,276,4.3,354,1.1,90,0.1,8,0.442,0.406,0.176,False
2399,Mike Dunleavy,18,27.5,494.8433333333333,15.1,271,3.8,68,2.4,44,0.7,12,0.5,9,0.401,0.356,0.253,False
2229,Mike James,61,27.0,1648.4333333333334,8.7,531,2.2,133,3.3,201,0.7,44,0.1,6,0.383,0.375,0.175,False
2034,Mike Miller,73,32.3,2356.245,9.9,722,6.6,483,4.5,326,0.4,30,0.4,31,0.482,0.378,0.141,False
201446,Mike Taylor,51,15.1,770.485,5.7,289,1.7,87,2.1,106,0.7,36,0.0,0,0.412,0.325,0.22,False
1630,Mikki Moore,70,17.2,1201.635,3.9,276,3.7,258,0.8,53,0.2,17,0.3,19,0.553,0.0,0.107,False
2590,Mo Williams,81,35.0,2834.095,17.8,1443,3.4,279,4.1,329,0.9,69,0.1,9,0.467,0.436,0.229,False
101145,Monta Ellis,25,35.7,891.9083333333333,19.0,474,4.3,108,3.7,93,1.6,39,0.3,8,0.451,0.308,0.252,False
201165,Morris Almond,25,10.2,254.58166666666668,3.7,92,1.4,36,0.3,7,0.2,4,0.2,4,0.407,0.294,0.185,False
2050,Morris Peterson,43,12.0,515.085,4.4,191,2.0,84,0.4,16,0.3,15,0.0,2,0.399,0.388,0.19,False
200754,Mouhamed Sene,6,4.7,28.116666666666667,3.3,20,2.3,14,0.0,0,0.2,1,0.5,3,0.667,0.0,0.215,False
101126,Nate Robinson,74,29.8,2208.57,17.2,1272,3.9,290,4.1,301,1.3,95,0.1,6,0.437,0.325,0.249,False
201605,Nathan Jawai,6,3.1,18.858333333333334,0.3,2,0.3,2,0.0,0,0.0,0,0.0,0,0.25,0.0,0.122,False
1737,Nazr Mohammed,39,8.7,341.12833333333333,2.7,104,2.0,79,0.2,8,0.1,5,0.4,16,0.406,0.0,0.199,False
2420,Nenad Krstic,46,24.8,1141.265,9.7,445,5.5,253,0.6,29,0.5,21,1.1,49,0.469,0.0,0.185,False
2403,Nene,77,32.6,2510.43,14.6,1123,7.8,598,1.4,108,1.2,95,1.3,101,0.604,0.2,0.181,False
2555,Nick Collison,71,25.8,1831.2933333333333,8.2,584,6.9,489,0.9,66,0.7,51,0.7,50,0.568,0.0,0.134,False
201156,Nick Young,82,22.4,1836.605,10.9,892,1.8,150,1.2,95,0.5,39,0.2,20,0.444,0.341,0.227,False
201587,Nicolas Batum,79,18.4,1453.7716666666668,5.4,426,2.8,220,0.9,74,0.6,50,0.5,40,0.446,0.369,0.138,False
201564,O.J. Mayo,82,38.1,3120.3033333333333,18.5,1516,3.8,308,3.2,262,1.1,91,0.2,13,0.438,0.384,0.238,False
200762,Oleksiy Pecherov,32,8.7,277.3016666666667,3.6,116,2.4,76,0.1,2,0.2,6,0.1,3,0.386,0.326,0.187,False
201629,Othello Hunter,16,5.7,91.56,1.4,22,1.5,24,0.1,1,0.1,2,0.3,5,0.55,0.0,0.116,False
200753,Patrick O'Bryant,39,6.5,254.975,2.6,101,1.7,66,0.3,11,0.2,6,0.5,19,0.536,0.0,0.187,False
2200,Pau Gasol,81,37.0,2999.3516666666665,18.9,1528,9.6,780,3.5,284,0.6,52,1.0,81,0.567,0.5,0.203,False
200781,Paul Davis,27,11.8,319.62,4.0,107,2.5,67,0.4,12,0.4,10,0.1,3,0.408,0.0,0.173,False
200794,Paul Millsap,76,30.1,2290.3783333333336,13.5,1028,8.6,654,1.8,138,1.0,78,1.0,73,0.534,0.0,0.197,False
1718,Paul Pierce,81,37.5,3035.451666666667,20.5,1658,5.6,457,3.6,294,1.0,80,0.3,27,0.457,0.391,0.251,False
978,Peja Stojakovic,61,34.2,2088.54,13.3,812,4.3,264,1.2,75,0.9,52,0.0,3,0.399,0.378,0.183,False
200822,Pops Mensah-Bonsu,22,12.8,282.6016666666667,5.0,111,5.1,113,0.3,6,0.4,9,0.2,5,0.379,0.0,0.198,False
2047,Quentin Richardson,72,26.3,1893.8833333333334,10.2,733,4.4,319,1.6,117,0.7,47,0.1,7,0.393,0.365,0.18,False
200763,Quincy Douby,27,11.1,300.615,4.3,115,1.2,32,0.9,25,0.2,5,0.2,5,0.382,0.304,0.189,False
2624,Quinton Ross,68,17.1,1164.1383333333333,3.9,265,1.9,126,0.7,47,0.5,32,0.2,14,0.382,0.375,0.122,False
1747,Rafer Alston,77,31.8,2446.665,11.7,900,2.9,227,5.3,406,1.4,108,0.1,10,0.385,0.338,0.195,False
1952,Raja Bell,67,34.6,2315.38,11.9,799,3.6,243,2.1,142,0.7,50,0.1,8,0.437,0.421,0.162,False
200765,Rajon Rondo,80,33.0,2642.19,11.9,953,5.2,416,8.2,659,1.9,149,0.1,11,0.505,0.313,0.189,False
201196,Ramon Sessions,79,27.5,2172.6483333333335,12.4,977,3.4,269,5.7,452,1.1,83,0.1,7,0.445,0.176,0.218,False
201043,Randolph Morris,23,3.8,88.51166666666667,0.8,18,0.9,20,0.1,2,0.1,2,0.0,1,0.412,0.0,0.124,False
200751,Randy Foye,70,35.6,2494.26,16.3,1139,3.1,214,4.3,303,1.0,72,0.4,26,0.407,0.36,0.224,False
101119,Rashad McCants,58,19.0,1100.3683333333333,9.6,554,1.9,110,1.2,68,0.8,47,0.2,14,0.393,0.333,0.241,False
1740,Rashard Lewis,79,36.2,2858.965,17.7,1401,5.7,453,2.6,205,1.0,81,0.6,51,0.439,0.397,0.214,False
739,Rasheed Wallace,66,32.2,2122.505,12.0,795,7.4,490,1.4,91,0.9,62,1.3,86,0.419,0.354,0.184,False
1725,Rasho Nesterovic,70,17.3,1214.2666666666667,6.8,473,3.4,240,1.6,109,0.4,30,0.5,38,0.513,0.0,0.185,False
2446,Rasual Butler,82,31.9,2613.525,11.2,922,3.3,271,0.9,75,0.6,51,0.7,61,0.433,0.39,0.166,False
951,Ray Allen,79,36.4,2875.73,18.2,1434,3.5,278,2.8,218,0.9,69,0.2,13,0.48,0.409,0.203,False
101109,Raymond Felton,82,37.6,3086.298333333333,14.2,1162,3.8,310,6.7,553,1.5,126,0.4,30,0.408,0.285,0.215,False
2501,Reggie Evans,79,14.4,1137.29,3.3,262,4.6,361,0.3,26,0.5,41,0.1,8,0.444,0.0,0.129,False
200764,Renaldo Balkman,53,14.7,779.7633333333333,5.0,264,3.8,203,0.6,34,0.9,47,0.4,23,0.558,0.286,0.141,False
1888,Richard Hamilton,67,34.0,2278.97,18.3,1225,3.1,207,4.4,297,0.6,40,0.1,4,0.447,0.368,0.264,False
2210,Richard Jefferson,82,35.8,2938.645,19.6,1607,4.6,374,2.4,199,0.8,66,0.2,14,0.439,0.397,0.245,False
1729,Ricky Davis,36,21.8,785.215,6.4,232,1.7,60,2.3,82,0.5,19,0.1,5,0.339,0.315,0.17,False
201633,Rob Kurz,40,11.0,441.91333333333336,3.9,157,2.0,81,0.5,20,0.4,14,0.5,19,0.389,0.395,0.157,False
2741,Robert Swift,26,13.2,342.605,3.3,86,3.4,89,0.3,9,0.2,5,0.7,17,0.521,0.0,0.109,False
